<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VNINDEX,20010827,279.65,279.65,279.65,279.65,5470
VNINDEX,20010829,261.35,261.35,261.35,261.35,12050
VNINDEX,20010831,277.40,277.40,277.40,277.40,29530
VNINDEX,20010905,296.43,296.43,296.43,296.43,9070
VNINDEX,20010907,307.76,307.76,307.76,307.76,24450
VNINDEX,20010910,286.55,286.55,286.55,286.55,26360
VNINDEX,20010912,284.68,284.68,284.68,284.68,19720
VNINDEX,20010914,274.64,274.64,274.64,274.64,15520
VNINDEX,20010917,266.09,266.09,266.09,266.09,13440
VNINDEX,20010919,273.37,273.37,273.37,273.37,15730
VNINDEX,20010921,272.03,272.03,272.03,272.03,11280
VNINDEX,20010924,259.75,259.75,259.75,259.75,15090
VNINDEX,20010926,249.72,249.72,249.72,249.72,13410
VNINDEX,20010928,244.46,244.46,244.46,244.46,14030
VNINDEX,20011001,229.06,229.06,229.06,229.06,14200
VNINDEX,20011003,214.29,214.29,214.29,214.29,10150
VNINDEX,20011005,203.12,203.12,203.12,203.12,21160
VNINDEX,20011008,217.10,217.10,217.10,217.10,12830
VNINDEX,20011010,221.18,221.18,221.18,221.18,120
VNINDEX,20011012,225.27,225.27,225.27,225.27,100
VNINDEX,20011015,229.35,229.35,229.35,229.35,1470
VNINDEX,20011017,233.48,233.48,233.48,233.48,990
VNINDEX,20011019,237.62,237.62,237.62,237.62,850
VNINDEX,20011022,242.01,242.01,242.01,242.01,3280
VNINDEX,20011024,246.41,246.41,246.41,246.41,2370
VNINDEX,20011026,250.85,250.85,250.85,250.85,2270
VNINDEX,20011029,255.55,255.55,255.55,255.55,40690
VNINDEX,20011031,260.29,260.29,260.29,260.29,4920
VNINDEX,20011102,265.03,265.03,265.03,265.03,6530
VNINDEX,20011105,269.77,269.77,269.77,269.77,6950
VNINDEX,20011107,274.89,274.89,274.89,274.89,2470
VNINDEX,20011109,280.03,280.03,280.03,280.03,2150
VNINDEX,20011112,285.06,285.06,285.06,285.06,2470
VNINDEX,20011114,290.51,290.51,290.51,290.51,3320
VNINDEX,20011116,295.97,295.97,295.97,295.97,2350
VNINDEX,20011119,301.09,301.09,301.09,301.09,5330
VNINDEX,20011121,296.11,296.11,296.11,296.11,30070
VNINDEX,20011123,292.17,292.17,292.17,292.17,13470
VNINDEX,20011126,296.90,296.90,296.90,296.90,27830
VNINDEX,20011128,293.03,293.03,293.03,293.03,15630
VNINDEX,20011130,288.52,288.52,288.52,288.52,4160
VNINDEX,20011203,283.02,283.02,283.02,283.02,2820
VNINDEX,20011205,279.15,279.15,279.15,279.15,1800
VNINDEX,20011207,275.49,275.49,275.49,275.49,7260
VNINDEX,20011210,271.62,271.62,271.62,271.62,14930
VNINDEX,20011212,267.83,267.83,267.83,267.83,7850
VNINDEX,20011214,263.04,263.04,263.04,263.04,4740
VNINDEX,20011217,259.08,259.08,259.08,259.08,2670
VNINDEX,20011219,247.26,247.26,247.26,247.26,8530
VNINDEX,20011221,250.95,250.95,250.95,250.95,36250
VNINDEX,20011224,248.05,248.05,248.05,248.05,17490
VNINDEX,20011226,242.75,242.75,242.75,242.75,14540
VNINDEX,20011228,239.27,239.27,239.27,239.27,7270
VNINDEX,20011231,235.40,235.40,235.40,235.40,4350
VNINDEX,20020102,231.70,231.70,231.70,231.70,6410
VNINDEX,20020104,227.79,227.79,227.79,227.79,4140
VNINDEX,20020107,225.95,225.95,225.95,225.95,284020
VNINDEX,20020109,222.90,222.90,222.90,222.90,18870
VNINDEX,20020111,219.22,219.22,219.22,219.22,7920
VNINDEX,20020114,214.16,214.16,214.16,214.16,5220
VNINDEX,20020116,210.68,210.68,210.68,210.68,3240
VNINDEX,20020118,206.79,206.79,206.79,206.79,3040
VNINDEX,20020121,203.27,203.27,203.27,203.27,7950
VNINDEX,20020123,206.01,206.01,206.01,206.01,32510
VNINDEX,20020128,210.76,210.76,210.76,210.76,12150
VNINDEX,20020130,207.55,207.55,207.55,207.55,54880
VNINDEX,20020201,204.48,204.48,204.48,204.48,27770
VNINDEX,20020204,203.77,203.77,203.77,203.77,27110
VNINDEX,20020206,205.37,205.37,205.37,205.37,18330
VNINDEX,20020208,205.20,205.20,205.20,205.20,26680
VNINDEX,20020218,202.89,202.89,202.89,202.89,5850
VNINDEX,20020220,199.52,199.52,199.52,199.52,9170
VNINDEX,20020222,196.58,196.58,196.58,196.58,12200
VNINDEX,20020225,193.79,193.79,193.79,193.79,8140
VNINDEX,20020227,191.10,191.10,191.10,191.10,8540
VNINDEX,20020301,193.59,193.59,193.59,193.59,43210
VNINDEX,20020304,190.98,190.98,190.98,190.98,17080
VNINDEX,20020305,188.22,188.22,188.22,188.22,13680
VNINDEX,20020306,185.74,185.74,185.74,185.74,15070
VNINDEX,20020307,183.20,183.20,183.20,183.20,14070
VNINDEX,20020308,181.20,181.20,181.20,181.20,18140
VNINDEX,20020311,180.73,180.73,180.73,180.73,34780
VNINDEX,20020312,182.92,182.92,182.92,182.92,12850
VNINDEX,20020313,185.66,185.66,185.66,185.66,7900
VNINDEX,20020314,188.97,188.97,188.97,188.97,8590
VNINDEX,20020315,192.39,192.39,192.39,192.39,19470
VNINDEX,20020318,190.30,190.30,190.30,190.30,37630
VNINDEX,20020319,187.06,187.06,187.06,187.06,14070
VNINDEX,20020320,189.05,189.05,189.05,189.05,36640
VNINDEX,20020321,189.26,189.26,189.26,189.26,10930
VNINDEX,20020322,187.67,187.67,187.67,187.67,13630
VNINDEX,20020325,188.71,188.71,188.71,188.71,9740
VNINDEX,20020326,191.97,191.97,191.97,191.97,11700
VNINDEX,20020327,195.11,195.11,195.11,195.11,12630
VNINDEX,20020328,197.89,197.89,197.89,197.89,13800
VNINDEX,20020329,200.15,200.15,200.15,200.15,11820
VNINDEX,20020401,203.14,203.14,203.14,203.14,14420
VNINDEX,20020402,203.22,203.22,203.22,203.22,17440
VNINDEX,20020403,202.16,202.16,202.16,202.16,32580
VNINDEX,20020404,201.38,201.38,201.38,201.38,15790
VNINDEX,20020405,198.77,198.77,198.77,198.77,11390
VNINDEX,20020408,198.52,198.52,198.52,198.52,14840
VNINDEX,20020409,200.48,200.48,200.48,200.48,13930
VNINDEX,20020410,200.85,200.85,200.85,200.85,12460
VNINDEX,20020411,200.36,200.36,200.36,200.36,14580
VNINDEX,20020412,199.69,199.69,199.69,199.69,10770
VNINDEX,20020415,200.40,200.40,200.40,200.40,10570
VNINDEX,20020416,198.44,198.44,198.44,198.44,11610
VNINDEX,20020417,197.12,197.12,197.12,197.12,9950
VNINDEX,20020418,199.31,199.31,199.31,199.31,16030
VNINDEX,20020419,201.43,201.43,201.43,201.43,16470
VNINDEX,20020422,201.14,201.14,201.14,201.14,14840
VNINDEX,20020423,202.81,202.81,202.81,202.81,21880
VNINDEX,20020424,205.65,205.65,205.65,205.65,19360
VNINDEX,20020425,207.06,207.06,207.06,207.06,22880
VNINDEX,20020426,208.48,208.48,208.48,208.48,21450
VNINDEX,20020502,209.52,209.52,209.52,209.52,26030
VNINDEX,20020503,212.95,212.95,212.95,212.95,23040
VNINDEX,20020506,214.23,214.23,214.23,214.23,27410
VNINDEX,20020507,210.43,210.43,210.43,210.43,23970
VNINDEX,20020508,207.05,207.05,207.05,207.05,22530
VNINDEX,20020509,208.85,208.85,208.85,208.85,15540
VNINDEX,20020510,211.88,211.88,211.88,211.88,20610
VNINDEX,20020513,209.62,209.62,209.62,209.62,28180
