<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VNINDEX,20050228,235.10,235.10,235.10,235.10,104460
VNINDEX,20050301,235.81,235.81,235.81,235.81,131510
VNINDEX,20050302,236.41,236.41,236.41,236.41,139170
VNINDEX,20050303,237.62,237.62,237.62,237.62,207070
VNINDEX,20050304,237.78,237.78,237.78,237.78,372270
VNINDEX,20050307,238.11,238.11,238.11,238.11,163530
VNINDEX,20050308,237.55,237.55,237.55,237.55,278650
VNINDEX,20050309,237.19,237.19,237.19,237.19,156930
VNINDEX,20050310,236.81,236.81,236.81,236.81,115370
VNINDEX,20050311,237.01,237.01,237.01,237.01,284510
VNINDEX,20050314,236.67,236.67,236.67,236.67,114610
VNINDEX,20050315,237.96,237.96,237.96,237.96,156010
VNINDEX,20050316,238.47,238.47,238.47,238.47,184510
VNINDEX,20050317,237.87,237.87,237.87,237.87,267920
VNINDEX,20050318,238.39,238.39,238.39,238.39,185740
VNINDEX,20050321,241.86,241.86,241.86,241.86,411870
VNINDEX,20050322,241.54,241.54,241.54,241.54,349110
VNINDEX,20050323,244.24,244.24,244.24,244.24,500740
VNINDEX,20050324,250.64,250.64,250.64,250.64,602680
VNINDEX,20050325,248.43,248.43,248.43,248.43,546140
VNINDEX,20050328,244.84,244.84,244.84,244.84,446990
VNINDEX,20050329,244.22,244.22,244.22,244.22,408440
VNINDEX,20050330,245.17,245.17,245.17,245.17,296290
VNINDEX,20050331,246.51,246.51,246.51,246.51,479190
VNINDEX,20050401,245.55,245.55,245.55,245.55,359980
VNINDEX,20050404,245.68,245.68,245.68,245.68,247540
VNINDEX,20050405,245.56,245.56,245.56,245.56,201780
VNINDEX,20050406,244.98,244.98,244.98,244.98,284080
VNINDEX,20050407,245.21,245.21,245.21,245.21,270570
VNINDEX,20050408,245.88,245.88,245.88,245.88,283310
VNINDEX,20050411,246.13,246.13,246.13,246.13,176440
VNINDEX,20050412,248.08,248.08,248.08,248.08,254640
VNINDEX,20050413,246.25,246.25,246.25,246.25,247560
VNINDEX,20050414,245.95,245.95,245.95,245.95,180610
VNINDEX,20050415,246.83,246.83,246.83,246.83,186210
VNINDEX,20050418,245.44,245.44,245.44,245.44,252530
VNINDEX,20050419,244.87,244.87,244.87,244.87,417910
VNINDEX,20050420,246.77,246.77,246.77,246.77,260900
VNINDEX,20050421,245.58,245.58,245.58,245.58,167070
VNINDEX,20050422,245.63,245.63,245.63,245.63,210350
VNINDEX,20050425,245.69,245.69,245.69,245.69,284120
VNINDEX,20050426,246.65,246.65,246.65,246.65,388720
VNINDEX,20050427,246.43,246.43,246.43,246.43,243030
VNINDEX,20050428,245.67,245.67,245.67,245.67,272500
VNINDEX,20050429,246.25,246.25,246.25,246.25,180330
VNINDEX,20050504,244.03,244.03,244.03,244.03,155890
VNINDEX,20050505,244.71,244.71,244.71,244.71,178940
VNINDEX,20050506,245.24,245.24,245.24,245.24,177690
VNINDEX,20050509,244.48,244.48,244.48,244.48,124030
VNINDEX,20050510,244.14,244.14,244.14,244.14,153110
VNINDEX,20050511,243.10,243.10,243.10,243.10,157580
VNINDEX,20050512,242.81,242.81,242.81,242.81,199350
VNINDEX,20050513,243.36,243.36,243.36,243.36,141490
VNINDEX,20050516,242.45,242.45,242.45,242.45,124240
VNINDEX,20050517,241.53,241.53,241.53,241.53,216520
VNINDEX,20050518,241.39,241.39,241.39,241.39,242400
VNINDEX,20050519,242.48,242.48,242.48,242.48,198080
VNINDEX,20050520,243.69,243.69,243.69,243.69,318670
VNINDEX,20050523,243.39,243.39,243.39,243.39,117210
VNINDEX,20050524,243.72,243.72,243.72,243.72,130920
VNINDEX,20050525,243.19,243.19,243.19,243.19,125090
VNINDEX,20050526,243.24,243.24,243.24,243.24,208180
VNINDEX,20050527,244.13,244.13,244.13,244.13,237810
VNINDEX,20050530,244.56,244.56,244.56,244.56,194480
VNINDEX,20050531,244.24,244.24,244.24,244.24,222650
VNINDEX,20050601,244.73,244.73,244.73,244.73,348920
VNINDEX,20050602,244.88,244.88,244.88,244.88,344810
VNINDEX,20050603,245.38,245.38,245.38,245.38,164960
VNINDEX,20050606,245.76,245.76,245.76,245.76,248800
VNINDEX,20050607,246.67,246.67,246.67,246.67,381140
VNINDEX,20050608,247.21,247.21,247.21,247.21,233490
VNINDEX,20050609,247.06,247.06,247.06,247.06,237990
VNINDEX,20050610,246.59,246.59,246.59,246.59,286250
VNINDEX,20050613,245.83,245.83,245.83,245.83,177160
VNINDEX,20050614,245.73,245.73,245.73,245.73,233230
VNINDEX,20050615,246.07,246.07,246.07,246.07,288430
VNINDEX,20050616,246.29,246.29,246.29,246.29,326620
VNINDEX,20050617,246.56,246.56,246.56,246.56,271030
VNINDEX,20050620,246.42,246.42,246.42,246.42,266780
VNINDEX,20050621,246.56,246.56,246.56,246.56,399720
VNINDEX,20050622,246.76,246.76,246.76,246.76,378450
VNINDEX,20050623,247.00,247.00,247.00,247.00,290220
VNINDEX,20050624,246.78,246.78,246.78,246.78,217680
VNINDEX,20050627,245.99,245.99,245.99,245.99,212050
VNINDEX,20050628,245.02,245.02,245.02,245.02,250440
VNINDEX,20050629,246.44,246.44,246.44,246.44,306690
VNINDEX,20050630,246.81,246.81,246.81,246.81,229420
VNINDEX,20050701,246.51,246.51,246.51,246.51,221240
VNINDEX,20050704,247.77,247.77,247.77,247.77,228650
VNINDEX,20050705,247.89,247.89,247.89,247.89,242780
VNINDEX,20050706,247.10,247.10,247.10,247.10,302410
VNINDEX,20050707,246.78,246.78,246.78,246.78,354410
VNINDEX,20050708,248.32,248.32,248.32,248.32,262490
VNINDEX,20050711,249.53,249.53,249.53,249.53,296310
VNINDEX,20050712,249.49,249.49,249.49,249.49,330560
VNINDEX,20050713,249.43,249.81,249.43,249.81,300130
VNINDEX,20050714,249.43,249.43,248.67,248.67,283030
VNINDEX,20050715,248.94,248.94,248.94,248.94,235820
VNINDEX,20050718,249.10,249.10,248.79,248.79,307790
VNINDEX,20050719,248.38,248.38,248.32,248.32,325660
VNINDEX,20050720,248.15,248.15,248.00,248.00,251700
VNINDEX,20050721,247.59,247.59,246.54,246.54,334230
VNINDEX,20050722,245.77,245.77,245.77,245.77,384800
VNINDEX,20050725,246.31,246.31,246.31,246.31,313910
VNINDEX,20050726,245.95,245.95,245.95,245.95,287060
VNINDEX,20050727,244.24,244.24,244.24,244.24,271670
VNINDEX,20050728,243.67,243.67,243.67,243.67,279380
VNINDEX,20050729,245.53,245.53,245.53,245.53,287710
VNINDEX,20050801,245.48,245.48,245.48,245.48,334340
VNINDEX,20050802,246.53,246.53,246.53,246.53,399610
VNINDEX,20050803,247.96,247.96,247.96,247.96,332090
VNINDEX,20050804,253.51,253.51,253.51,253.51,610550
VNINDEX,20050805,250.93,250.93,250.93,250.93,320750
VNINDEX,20050808,250.27,250.27,248.87,248.87,250170
VNINDEX,20050809,249.58,249.58,249.31,249.31,309230
VNINDEX,20050810,249.00,249.04,249.00,249.04,254970
VNINDEX,20050811,249.21,249.21,248.99,248.99,313510
VNINDEX,20050812,248.89,249.23,248.89,249.23,285650
VNINDEX,20050815,249.09,249.09,248.24,248.24,395490
VNINDEX,20050816,247.90,247.90,247.53,247.53,372800
VNINDEX,20050817,247.46,247.46,247.33,247.33,427720
VNINDEX,20050818,247.30,247.35,247.30,247.35,593580
VNINDEX,20050819,247.47,247.84,247.47,247.84,301640
VNINDEX,20050822,247.82,247.91,247.82,247.91,312890
VNINDEX,20050823,247.89,248.19,247.89,248.19,438650
VNINDEX,20050824,247.98,248.41,247.98,248.41,318390
VNINDEX,20050825,248.64,249.07,248.64,249.07,344950
VNINDEX,20050826,249.38,249.74,249.38,249.74,390050
VNINDEX,20050829,251.05,253.70,251.05,253.70,365300
VNINDEX,20050830,255.94,255.94,255.94,255.94,557490
VNINDEX,20050831,256.23,256.23,254.50,254.50,431470
VNINDEX,20050901,255.02,255.02,254.95,254.95,284540
VNINDEX,20050905,254.56,255.55,254.56,255.55,496360
VNINDEX,20050906,255.68,257.58,255.68,257.58,401050
VNINDEX,20050907,258.73,259.57,258.73,259.57,770290
VNINDEX,20050908,260.61,260.61,260.61,260.61,543320
VNINDEX,20050909,259.96,259.96,259.96,259.96,756230
VNINDEX,20050912,262.18,262.18,262.18,262.18,736630
VNINDEX,20050913,263.41,264.09,263.41,264.09,819620
VNINDEX,20050914,264.51,264.51,264.03,264.03,643310
VNINDEX,20050915,265.03,265.49,265.03,265.49,693950
VNINDEX,20050916,268.19,268.19,268.08,268.08,728610
VNINDEX,20050919,270.07,274.81,270.07,274.81,691130
VNINDEX,20050920,284.55,285.99,284.55,285.99,1205880
VNINDEX,20050921,288.46,288.46,276.61,276.61,1108650
VNINDEX,20050922,277.78,280.40,277.78,280.40,849760
VNINDEX,20050923,281.28,281.28,278.35,278.35,909820
VNINDEX,20050926,278.84,278.84,277.54,277.54,763970
VNINDEX,20050927,277.18,277.18,276.49,276.49,624410
VNINDEX,20050928,275.62,275.63,275.62,275.63,479070
VNINDEX,20050929,275.97,275.97,275.95,275.95,465630
VNINDEX,20050930,289.18,289.33,289.18,289.33,822500
VNINDEX,20051003,289.95,289.95,286.00,286.00,1251840
VNINDEX,20051004,285.55,285.55,283.86,283.86,615910
VNINDEX,20051005,285.01,286.34,285.01,286.34,657420
VNINDEX,20051006,286.96,288.14,286.96,288.14,641050
VNINDEX,20051007,289.68,291.30,289.68,291.30,669630
VNINDEX,20051010,292.45,292.45,292.11,292.11,1207580
VNINDEX,20051011,291.98,291.98,291.34,291.34,460490
VNINDEX,20051012,291.88,292.35,291.88,292.35,460890
VNINDEX,20051013,296.59,298.74,296.59,298.74,787410
VNINDEX,20051014,302.70,304.10,302.70,304.10,1139990
VNINDEX,20051017,310.01,310.20,310.01,310.20,794610
VNINDEX,20051018,311.39,311.39,307.09,307.09,1090400
VNINDEX,20051019,305.19,306.46,305.19,306.46,1015770
VNINDEX,20051020,307.71,307.71,307.05,307.05,1070230
VNINDEX,20051021,307.27,307.27,306.72,306.72,914680
VNINDEX,20051024,306.57,306.90,306.57,306.90,2970760
VNINDEX,20051025,306.28,306.28,305.11,305.11,1322530
VNINDEX,20051026,302.14,302.14,300.53,300.53,979240
VNINDEX,20051027,297.95,300.98,297.95,300.98,644290
VNINDEX,20051028,305.40,305.40,305.38,305.38,1236370
VNINDEX,20051031,307.31,307.40,307.31,307.40,601210
VNINDEX,20051101,310.34,310.51,310.34,310.51,637830
VNINDEX,20051102,314.60,315.56,314.60,315.56,455460
VNINDEX,20051103,321.99,322.52,321.99,322.52,840760
VNINDEX,20051104,325.25,325.25,321.15,321.15,746380
VNINDEX,20051107,321.52,322.59,321.52,322.59,606760
VNINDEX,20051108,322.81,322.81,321.35,321.35,541200
VNINDEX,20051109,321.32,321.32,320.56,320.56,468480
VNINDEX,20051110,320.81,320.81,319.13,319.13,472100
VNINDEX,20051111,318.52,318.52,317.73,317.73,510090
VNINDEX,20051114,317.77,317.83,317.77,317.83,466230
VNINDEX,20051115,318.47,318.47,317.06,317.06,574340
VNINDEX,20051116,316.16,316.16,315.90,315.90,449490
VNINDEX,20051117,314.85,314.85,313.91,313.91,722590
VNINDEX,20051118,312.58,312.58,312.50,312.50,362800
VNINDEX,20051121,312.72,312.72,311.80,311.80,295950
VNINDEX,20051122,310.84,310.84,308.53,308.53,471050
VNINDEX,20051123,307.78,307.78,305.50,305.50,552560
VNINDEX,20051124,301.82,301.82,301.78,301.78,683810
VNINDEX,20051125,306.53,309.47,306.53,309.47,518550
VNINDEX,20051128,310.42,310.42,308.18,308.18,389820
VNINDEX,20051129,306.19,307.77,306.19,307.77,341090
VNINDEX,20051130,309.16,311.33,309.16,311.33,272860
VNINDEX,20051201,311.22,312.09,311.22,312.09,266120
VNINDEX,20051202,313.01,313.01,312.43,312.43,241830
VNINDEX,20051205,312.53,312.86,312.53,312.86,191340
VNINDEX,20051206,312.43,312.43,312.29,312.29,191770
VNINDEX,20051207,312.40,312.40,312.31,312.31,437000
VNINDEX,20051208,312.83,313.09,312.83,313.09,264710
VNINDEX,20051209,314.24,315.79,314.24,315.79,332000
VNINDEX,20051212,317.75,317.75,316.88,316.88,309280
VNINDEX,20051213,316.80,316.80,316.73,316.73,368160
VNINDEX,20051214,316.55,316.55,314.94,314.94,449540
VNINDEX,20051215,315.47,315.47,314.08,314.08,365200
VNINDEX,20051216,314.57,314.57,314.49,314.49,316670
VNINDEX,20051219,314.22,314.22,311.60,311.60,442350
VNINDEX,20051220,313.66,313.66,311.83,311.83,423710
VNINDEX,20051221,310.68,310.68,310.64,310.64,252980
VNINDEX,20051222,308.43,309.96,308.43,309.96,397590
VNINDEX,20051223,309.67,309.67,309.14,309.14,317690
VNINDEX,20051226,309.56,309.56,309.26,309.26,324980
VNINDEX,20051227,309.70,309.70,308.42,308.42,310760
VNINDEX,20051228,307.59,307.59,307.32,307.32,279260
VNINDEX,20051229,306.60,308.80,306.60,308.80,309080
VNINDEX,20051230,310.46,310.46,307.50,307.50,367890
VNINDEX,20060103,306.86,306.86,305.28,305.28,249870
VNINDEX,20060104,305.30,305.30,305.09,305.09,204430
VNINDEX,20060105,305.59,306.71,305.59,306.71,224490
VNINDEX,20060106,307.47,307.50,307.47,307.50,212090
VNINDEX,20060109,307.76,307.76,306.31,306.31,207310
VNINDEX,20060110,306.75,306.75,306.35,306.35,424550
VNINDEX,20060111,305.82,305.82,304.96,304.96,249270
VNINDEX,20060112,304.30,304.30,304.23,304.23,409390
VNINDEX,20060113,305.82,306.83,305.82,306.83,301730
VNINDEX,20060117,307.90,308.94,307.90,308.94,527790
VNINDEX,20060118,309.90,310.38,309.90,310.38,289790
VNINDEX,20060119,310.64,310.64,310.52,310.52,448850
VNINDEX,20060120,316.40,316.40,313.38,313.38,427420
VNINDEX,20060123,313.49,313.49,308.31,308.31,451520
VNINDEX,20060124,308.21,308.21,306.84,306.84,345610
VNINDEX,20060125,307.06,310.86,307.06,310.86,305740
VNINDEX,20060126,312.92,313.30,312.92,313.30,331790
VNINDEX,20060127,312.29,312.32,312.29,312.32,307900
VNINDEX,20060206,314.03,314.03,313.14,313.14,957640
VNINDEX,20060207,317.43,318.95,317.43,318.95,750400
VNINDEX,20060208,324.28,325.00,324.28,325.00,799240
VNINDEX,20060209,325.30,325.54,325.30,325.54,1050730
VNINDEX,20060210,322.57,325.17,322.57,325.17,661550
VNINDEX,20060213,324.69,324.69,324.46,324.46,798890
VNINDEX,20060214,324.61,325.59,324.61,325.59,791680
VNINDEX,20060215,327.10,327.67,327.10,327.67,852710
VNINDEX,20060216,330.80,330.80,330.80,330.80,996310
VNINDEX,20060217,335.27,339.98,335.27,339.98,1246430
VNINDEX,20060220,351.45,353.96,351.45,353.96,1120940
VNINDEX,20060221,366.72,366.72,366.46,366.46,1464920
VNINDEX,20060222,373.28,373.28,364.44,364.44,1671910
VNINDEX,20060223,367.91,368.93,367.91,368.93,1009750
VNINDEX,20060224,373.31,373.50,373.31,373.50,1111020
VNINDEX,20060227,377.40,379.57,377.40,379.57,1366120
VNINDEX,20060228,383.19,390.65,383.19,390.65,1379460
VNINDEX,20060301,402.15,402.15,401.90,401.90,1666900
VNINDEX,20060302,409.77,412.82,409.77,412.82,1678820
VNINDEX,20060303,415.56,415.56,397.95,397.95,2629700
VNINDEX,20060306,401.36,409.76,401.36,409.76,1819980
VNINDEX,20060307,413.05,413.33,413.05,413.33,1456840
VNINDEX,20060308,412.98,412.98,409.28,409.28,1606680
VNINDEX,20060309,413.20,413.20,412.12,412.12,3520480
VNINDEX,20060310,415.45,415.45,414.36,414.36,1759030
VNINDEX,20060313,422.97,424.46,422.97,424.46,2189930
VNINDEX,20060314,431.10,432.21,431.10,432.21,2122058
VNINDEX,20060315,435.41,435.41,427.59,427.59,2192484
VNINDEX,20060316,434.56,434.56,432.86,432.86,1889589
VNINDEX,20060317,436.59,443.19,436.59,443.19,1873190
VNINDEX,20060320,450.15,453.48,450.15,453.48,2266711
VNINDEX,20060321,461.56,462.69,461.56,462.69,2489340
VNINDEX,20060322,468.73,468.73,459.36,459.36,3176914
VNINDEX,20060323,460.21,460.21,459.42,459.42,2408526
VNINDEX,20060324,457.94,457.94,456.06,456.06,1960781
VNINDEX,20060327,460.46,463.00,460.46,463.00,1951364
VNINDEX,20060328,460.46,466.47,460.46,466.47,2272722
VNINDEX,20060329,471.41,474.79,471.41,474.79,2504458
VNINDEX,20060330,492.08,493.41,492.08,493.41,2316538
VNINDEX,20060331,507.10,507.10,503.56,503.56,2273704
VNINDEX,20060403,520.53,523.32,520.53,523.32,2434533
VNINDEX,20060404,536.30,536.30,505.42,505.42,3363061
VNINDEX,20060405,517.50,521.12,517.50,521.12,4307239
VNINDEX,20060406,533.87,533.87,532.69,532.69,4051137
VNINDEX,20060407,540.94,544.71,540.94,544.71,2521499
VNINDEX,20060410,551.26,551.26,540.36,540.36,2482981
VNINDEX,20060411,536.49,536.49,528.63,528.63,2738253
VNINDEX,20060412,534.30,534.30,534.30,534.30,2694871
VNINDEX,20060413,534.30,551.60,534.30,551.60,2455923
VNINDEX,20060414,558.38,558.38,555.15,555.15,2380585
VNINDEX,20060417,561.32,561.32,561.09,561.09,2400666
VNINDEX,20060418,569.17,570.94,569.17,570.94,2398220
VNINDEX,20060419,576.11,576.11,571.16,571.16,2897418
VNINDEX,20060420,571.63,571.63,569.79,569.79,3373162
VNINDEX,20060421,587.46,591.39,587.46,591.39,3619165
VNINDEX,20060424,612.80,615.14,612.80,615.14,2597120
VNINDEX,20060425,638.86,638.86,632.69,632.69,2487094
VNINDEX,20060426,625.28,625.28,621.53,621.53,3291728
VNINDEX,20060427,617.47,617.47,594.02,594.02,4180008
VNINDEX,20060428,595.48,595.48,595.48,595.48,4330352
VNINDEX,20060503,611.72,612.11,611.72,612.11,2386357
VNINDEX,20060504,609.52,609.52,601.34,601.34,2739526
VNINDEX,20060505,593.89,593.89,593.89,593.89,3347673
VNINDEX,20060508,586.46,586.46,574.25,574.25,1696938
VNINDEX,20060509,547.33,547.33,546.40,546.40,1314589
VNINDEX,20060510,521.12,521.12,520.82,520.82,1097735
VNINDEX,20060511,535.47,542.95,535.47,542.95,3814744
VNINDEX,20060512,567.69,567.69,566.76,566.76,2194736
VNINDEX,20060515,590.04,590.25,590.04,590.25,2382180
VNINDEX,20060516,577.19,577.19,564.52,564.52,4001451
VNINDEX,20060517,576.25,576.25,575.54,575.54,2138126
VNINDEX,20060518,568.81,568.81,566.11,566.11,1811871
VNINDEX,20060519,557.28,562.33,557.28,562.33,1959294
VNINDEX,20060522,558.15,558.15,553.37,553.37,1449663
VNINDEX,20060523,540.56,540.56,538.60,538.60,1417396
VNINDEX,20060524,540.56,559.55,540.56,559.55,2062491
VNINDEX,20060525,543.41,543.41,543.41,543.41,1688115
VNINDEX,20060526,543.67,545.39,543.67,545.39,1206924
VNINDEX,20060529,540.56,540.56,537.30,537.30,1148849
VNINDEX,20060530,526.15,526.15,526.01,526.01,1286264
VNINDEX,20060531,531.22,538.91,531.22,538.91,1351698
VNINDEX,20060601,538.55,538.55,535.18,535.18,1623411
VNINDEX,20060602,538.37,540.23,538.37,540.23,1168790
VNINDEX,20060605,548.91,551.26,548.91,551.26,1100871
VNINDEX,20060606,557.35,557.35,551.79,551.79,1667337
VNINDEX,20060607,546.20,546.20,544.55,544.55,1341421
VNINDEX,20060608,544.41,548.19,544.41,548.19,1119830
VNINDEX,20060609,549.61,549.61,548.79,548.79,1129532
VNINDEX,20060612,546.95,546.95,545.98,545.98,843771
VNINDEX,20060613,546.20,546.20,543.90,543.90,1448927
VNINDEX,20060614,543.53,543.53,540.96,540.96,832029
VNINDEX,20060615,539.96,539.96,537.48,537.48,646648
VNINDEX,20060616,529.31,529.31,523.63,523.70,1282256
VNINDEX,20060619,522.33,522.55,519.47,519.47,779117
VNINDEX,20060620,517.10,517.10,505.94,505.94,1219934
VNINDEX,20060621,495.09,495.09,487.86,487.86,2283408
VNINDEX,20060622,502.82,510.15,502.82,510.15,949481
VNINDEX,20060623,516.59,516.59,505.80,510.62,1508747
VNINDEX,20060626,504.11,506.59,502.94,502.94,1041400
VNINDEX,20060627,498.54,501.56,498.54,501.56,2218266
VNINDEX,20060628,502.51,506.46,502.51,506.46,872219
VNINDEX,20060629,506.31,512.29,506.27,512.29,1134920
VNINDEX,20060630,513.17,515.59,509.23,515.59,1776092
VNINDEX,20060703,509.78,510.26,507.31,507.31,804836
VNINDEX,20060704,503.57,503.57,500.49,500.49,666986
VNINDEX,20060705,497.95,499.80,497.95,499.80,562723
VNINDEX,20060706,498.07,505.26,498.07,505.26,925841
VNINDEX,20060707,506.18,508.31,506.18,508.31,1298245
VNINDEX,20060710,509.10,509.10,504.98,504.98,966587
VNINDEX,20060711,505.77,506.54,504.00,504.00,1237992
VNINDEX,20060712,504.80,504.80,502.08,502.08,1545623
VNINDEX,20060713,506.45,509.15,506.45,509.15,1822277
VNINDEX,20060714,511.99,511.99,506.10,506.10,1976624
VNINDEX,20060717,498.22,498.22,494.31,494.31,2142357
VNINDEX,20060718,489.23,489.23,484.13,484.13,1942273
VNINDEX,20060719,477.13,477.13,466.19,466.19,2159989
VNINDEX,20060720,458.54,485.57,458.54,485.57,2379118
VNINDEX,20060721,482.45,482.45,472.86,472.86,1546934
VNINDEX,20060724,466.60,466.60,460.68,460.68,1365930
VNINDEX,20060725,449.94,449.94,439.66,439.66,1797396
VNINDEX,20060726,431.06,438.07,431.06,434.24,1953006
VNINDEX,20060727,435.13,441.27,435.13,441.27,1673663
VNINDEX,20060728,445.10,445.10,439.57,439.57,1583625
VNINDEX,20060731,431.47,431.47,422.41,422.41,1471266
VNINDEX,20060801,409.67,409.67,404.87,404.87,1749450
VNINDEX,20060802,388.82,399.80,388.82,399.80,2275332
VNINDEX,20060803,411.86,417.73,411.86,417.73,2094739
VNINDEX,20060804,436.12,436.12,435.50,435.50,2007442
VNINDEX,20060807,439.95,439.95,423.49,423.49,2646211
VNINDEX,20060808,426.02,434.31,426.02,433.40,1551740
VNINDEX,20060809,430.97,433.86,430.25,430.25,2716337
VNINDEX,20060810,429.18,432.40,429.18,432.40,1917732
VNINDEX,20060811,436.68,443.45,436.68,443.45,2222829
VNINDEX,20060814,458.97,464.55,458.97,464.55,2610459
VNINDEX,20060815,468.26,468.26,460.07,460.34,3495373
VNINDEX,20060816,467.94,476.24,467.94,476.24,3422260
VNINDEX,20060817,488.78,488.78,483.32,483.32,4399552
VNINDEX,20060818,486.00,486.00,482.31,482.31,4162571
VNINDEX,20060821,485.18,485.18,482.19,482.19,2520263
VNINDEX,20060822,474.55,474.55,470.12,470.12,2723278
VNINDEX,20060823,466.97,478.39,466.97,478.39,2494362
VNINDEX,20060824,480.75,481.20,479.03,479.03,2023443
VNINDEX,20060825,478.00,478.00,476.89,477.43,1655573
VNINDEX,20060828,477.45,483.06,477.45,483.06,2578474
VNINDEX,20060829,485.62,488.63,485.62,488.63,2838371
VNINDEX,20060830,492.95,493.25,492.77,492.77,3610037
VNINDEX,20060831,492.53,492.53,490.23,491.18,2451580
VNINDEX,20060901,498.21,498.21,498.21,498.21,3492452
VNINDEX,20060905,509.87,515.66,509.87,515.66,4536053
VNINDEX,20060906,526.87,526.87,517.61,517.61,4249083
VNINDEX,20060907,514.77,514.77,511.21,511.21,3112372
VNINDEX,20060908,511.45,513.04,511.21,513.04,3168069
VNINDEX,20060911,514.87,514.87,511.55,511.55,2740808
VNINDEX,20060912,506.11,506.11,500.82,500.82,2594163
VNINDEX,20060913,500.42,511.14,500.42,510.66,2650419
VNINDEX,20060914,508.97,508.97,505.17,505.17,2095641
VNINDEX,20060915,508.29,509.32,508.27,509.32,2613758
VNINDEX,20060918,511.10,511.10,510.08,510.08,2214287
VNINDEX,20060919,514.03,515.08,514.03,515.08,3397115
VNINDEX,20060920,519.54,519.54,514.48,514.48,3016466
VNINDEX,20060921,515.81,515.81,513.32,513.37,2074178
VNINDEX,20060922,511.61,513.75,511.61,513.75,2107123
VNINDEX,20060925,514.51,515.09,514.25,515.09,2179321
VNINDEX,20060926,516.81,520.05,516.81,520.05,2763535
VNINDEX,20060927,522.21,522.21,520.42,520.42,2979795
VNINDEX,20060928,522.18,527.74,522.18,527.74,4873605
VNINDEX,20060929,531.88,531.88,526.37,526.37,3214364
VNINDEX,20061002,529.57,531.68,529.57,531.68,2434374
VNINDEX,20061003,538.09,538.09,536.47,537.87,3300500
VNINDEX,20061004,545.55,545.55,541.91,541.91,4073400
VNINDEX,20061005,542.82,542.82,534.73,534.73,2668067
VNINDEX,20061006,532.93,536.48,532.93,536.48,2098005
VNINDEX,20061009,537.52,537.52,535.13,535.13,2440795
VNINDEX,20061010,531.97,531.97,527.18,527.18,2766747
VNINDEX,20061011,524.73,525.00,524.67,524.67,2214562
VNINDEX,20061012,527.16,527.16,525.22,525.22,2236608
VNINDEX,20061013,524.98,526.12,524.98,525.93,2256258
VNINDEX,20061016,527.01,527.01,526.34,526.34,2333811
VNINDEX,20061017,523.28,523.28,518.71,518.71,3286952
VNINDEX,20061018,517.93,518.58,517.88,518.58,2605186
VNINDEX,20061019,522.69,524.59,522.49,524.59,2717404
VNINDEX,20061020,527.91,528.42,527.91,528.42,2297103
VNINDEX,20061023,526.05,526.05,525.92,525.92,1880735
VNINDEX,20061024,525.98,525.98,525.75,525.75,1774428
VNINDEX,20061025,525.02,525.39,524.25,524.25,1750455
VNINDEX,20061026,524.59,524.99,524.35,524.99,1537788
VNINDEX,20061027,520.71,521.23,520.71,521.04,1934405
VNINDEX,20061030,518.01,518.01,512.40,512.40,1906136
VNINDEX,20061031,505.23,511.54,505.23,511.54,2454076
VNINDEX,20061101,516.80,521.38,516.80,521.38,1865886
VNINDEX,20061102,523.10,523.10,516.95,516.95,1617822
VNINDEX,20061103,514.11,514.11,513.74,513.74,1199619
VNINDEX,20061106,513.89,517.11,513.89,517.11,1522237
VNINDEX,20061107,519.74,520.48,519.74,520.03,2138062
VNINDEX,20061108,524.28,525.99,524.28,525.99,2515006
VNINDEX,20061109,530.14,531.69,530.14,531.69,2729816
VNINDEX,20061110,537.43,537.43,530.81,530.81,2727261
VNINDEX,20061113,534.04,537.28,534.04,537.28,3287801
VNINDEX,20061114,549.44,555.77,549.44,555.77,4553336
VNINDEX,20061115,570.63,570.63,563.09,563.09,5527230
VNINDEX,20061116,556.42,559.83,556.42,559.83,4372254
VNINDEX,20061117,563.12,573.79,563.12,573.79,4916375
VNINDEX,20061120,590.07,590.07,584.26,584.26,5978332
VNINDEX,20061121,596.23,599.01,596.23,598.22,3804929
VNINDEX,20061122,609.46,610.16,607.93,610.16,4319541
VNINDEX,20061123,632.53,636.95,632.53,636.95,5137827
VNINDEX,20061124,666.04,666.26,665.53,665.53,5452921
VNINDEX,20061127,687.72,687.72,640.15,640.15,6166239
VNINDEX,20061128,635.63,647.08,635.63,638.00,4849227
VNINDEX,20061129,622.16,622.16,616.07,616.58,4198276
VNINDEX,20061130,616.77,633.05,616.77,633.05,3517933
VNINDEX,20061201,637.07,637.07,631.29,631.29,3467286
VNINDEX,20061204,638.89,640.74,638.89,640.65,3878881
VNINDEX,20061205,644.26,644.60,642.94,644.60,4387199
VNINDEX,20061206,651.18,655.13,651.18,655.13,4835167
VNINDEX,20061207,670.13,677.14,670.13,677.14,8625998
VNINDEX,20061208,696.12,696.12,696.12,696.12,3347057
VNINDEX,20061211,721.60,724.29,721.60,723.84,7653826
VNINDEX,20061212,748.58,748.58,716.64,716.64,10788423
VNINDEX,20061213,740.29,740.57,738.81,740.57,8283269
VNINDEX,20061214,766.59,766.59,757.17,757.17,8623537
VNINDEX,20061215,773.47,775.56,773.47,775.56,7526604
